,x,y,x1,y1,Relative Scale,increment list
0,600,400,600,400,1.0,0.0016666666666666668
1,600,400,600,400,1.0,0.0016666666666666668
2,600,400,600,400,0.22345841616778372,0.0012333333333333335
3,600,400,600,400,0.24390243902439046,0.0012333333333333335
4,600,400,600,400,0.24390243902439046,0.0021
5,600,400,600,400,0.24390243902439046,0.0038
6,600,400,600,400,0.24390243902439046,0.0038
7,600,400,600,402,0.11299435028248528,0.002033333333333333
8,600,400,600,404,0.05471956224350194,0.002033333333333333
9,600,400,600,405,0.0,0.0011
10,600,400,600,405,0.0,0.0039
11,600,400,600,405,0.12099213551119181,0.0039
12,600,400,600,405,0.12099213551119181,0.007366666666666666
13,600,400,600,405,0.12099213551119181,0.007366666666666666
14,600,400,600,406,0.12099213551119181,0.0074
15,600,401,600,407,0.057372346528973495,0.0074
16,600,401,600,407,0.057372346528973495,0.008133333333333333
17,600,401,600,408,0.057372346528973495,0.009133333333333332
18,600,402,600,409,0.0,0.009133333333333332
19,600,402,600,410,0.0,0.008366666666666666
20,600,402,600,411,0.0,0.008366666666666666
21,600,403,600,412,0.0,0.009899999999999999
22,600,403,600,412,0.10928961748633892,0.011633333333333332
23,600,404,600,414,0.11689070718877836,0.011633333333333332
24,600,405,600,417,0.11689070718877836,0.0133
25,600,405,600,419,0.11689070718877836,0.0133
26,600,406,600,421,0.20202020202020243,0.013833333333333333
27,600,406,600,422,0.21141649048625766,0.014
28,600,407,600,423,0.21141649048625766,0.014
29,600,408,600,425,0.3952569169960487,0.013033333333333334
30,600,408,600,427,0.4134366925064601,0.013033333333333334
31,600,409,600,430,0.24630541871921263,0.0149
32,600,410,600,434,0.3952569169960487,0.0149
33,600,411,600,435,0.3952569169960487,0.017266666666666666
34,600,411,600,437,0.378250591016549,0.020233333333333332
35,600,412,600,439,0.5323868677905939,0.020233333333333332
36,600,413,601,440,0.695652173913043,0.022233333333333334
37,600,414,601,441,0.5106382978723403,0.022233333333333334
38,600,414,601,443,0.49019607843137347,0.022233333333333334
39,600,415,601,445,0.3473729917498911,0.025666666666666667
40,600,416,601,447,0.3076923076923075,0.025666666666666667
41,601,417,601,449,0.3333333333333339,0.030000000000000002
42,601,418,601,450,0.17825311942958955,0.030000000000000002
43,601,419,601,451,0.29596744358120564,0.0342
44,601,419,601,453,0.17304780445598134,0.035866666666666665
45,601,420,602,453,0.2849002849002851,0.035866666666666665
46,601,421,602,453,0.2849002849002851,0.038900000000000004
47,601,422,602,455,0.18369690011481055,0.038900000000000004
48,601,423,602,457,0.27444253859348233,0.042133333333333335
49,601,424,602,459,0.2150537634408609,0.042133333333333335
50,601,425,602,460,0.2645502645502642,0.04613333333333334
51,601,426,602,462,0.2645502645502642,0.0545
52,601,427,602,464,0.15873015873015905,0.0545
53,601,428,603,466,0.17304780445598134,0.05653333333333333
54,602,429,603,469,0.12987012987012925,0.05653333333333333
55,602,430,603,472,0.0852514919011087,0.05656666666666666
56,602,431,603,474,0.07824726134585269,0.06709999999999999
57,602,432,603,475,0.07824726134585269,0.06709999999999999
58,602,433,604,476,0.07824726134585269,0.07526666666666666
59,602,434,604,478,0.2049085883625814,0.07526666666666666
60,602,435,604,479,0.23788284269997018,0.07396666666666667
61,602,436,604,482,0.23788284269997018,0.07396666666666667
62,602,437,604,486,0.23788284269997018,0.08033333333333334
63,602,438,604,488,0.2081706999739792,0.0828
64,602,439,604,491,0.22988505747126364,0.0828
65,602,440,604,494,0.20161290322580605,0.08563333333333333
66,602,442,604,497,0.20161290322580605,0.08563333333333333
67,602,443,604,499,0.2222839677688242,0.08916666666666666
68,602,444,605,501,0.2886002886002883,0.09106666666666666
69,602,445,605,503,0.2150537634408609,0.09106666666666666
70,602,446,605,505,0.3076923076923075,0.094
71,602,447,605,510,0.2714932126696832,0.094
72,602,448,605,515,0.30737704918032804,0.09773333333333332
73,602,449,604,519,0.34632034632034614,0.10056666666666667
74,602,450,604,523,0.29776674937965186,0.10056666666666667
75,602,451,604,525,0.2849002849002851,0.1032
76,602,452,604,526,0.16329863237395426,0.1032
77,602,454,604,528,0.27444253859348233,0.10629999999999999
78,602,455,604,531,0.23483365949119417,0.10629999999999999
79,602,456,604,533,0.1543507621068878,0.1093
80,602,457,604,536,0.2645502645502642,0.11286666666666667
81,602,458,604,539,0.22222222222222232,0.11286666666666667
82,602,459,604,540,0.22222222222222232,0.11486666666666667
83,602,461,604,543,0.25518341307815007,0.11486666666666667
84,602,462,604,545,0.21629416005767776,0.12056666666666667
85,602,463,604,546,0.2106002106002105,0.12306666666666666
86,602,464,604,549,0.2051282051282044,0.12306666666666666
87,602,465,604,551,0.1998667554963358,0.12689999999999999
88,602,467,605,553,0.1998667554963358,0.12689999999999999
89,602,468,605,554,0.1998667554963358,0.12676666666666667
90,602,469,605,556,0.1315140555646881,0.13016666666666665
91,602,470,605,559,0.1315140555646881,0.13016666666666665
92,603,471,605,562,0.5031046119282276,0.13176666666666667
93,603,473,605,564,0.45377197958026017,0.13176666666666667
94,603,474,605,566,0.45377197958026017,0.13516666666666666
95,603,475,605,569,0.4395604395604398,0.13516666666666666
96,603,476,605,572,0.5494505494505493,0.1368
97,603,477,605,574,0.5296259516716324,0.13816666666666666
98,603,479,606,577,0.7675087943716026,0.13816666666666666
99,603,480,605,579,0.7407407407407405,0.13953333333333334
100,603,481,606,581,0.5854800936768152,0.13953333333333334
101,603,482,606,583,0.5802707930367514,0.14206666666666665
102,603,483,606,585,0.5473453749315818,0.14673333333333333
103,603,484,606,587,0.5555555555555554,0.14673333333333333
104,603,485,606,589,0.5872277954489844,0.14583333333333334
105,603,487,606,592,0.569259962049335,0.14583333333333334
106,603,488,606,594,0.5357142857142856,0.149
107,603,489,606,597,0.5982905982905988,0.15183333333333332
108,603,490,607,599,0.5647438483259384,0.15183333333333332
109,603,491,607,601,0.47694753577106574,0.1515
110,604,492,607,601,0.31027795733678065,0.1515
111,604,493,607,603,0.2588235294117647,0.15413333333333332
112,604,494,607,604,0.2678571428571428,0.15413333333333332
113,604,496,607,605,0.27972027972028,0.15556666666666666
114,604,497,607,608,0.27972027972028,0.16429999999999997
115,604,498,608,611,0.2220782825946146,0.16429999999999997
116,604,499,608,613,0.2518438568087782,0.16319999999999998
117,604,500,608,614,0.27472527472527464,0.16319999999999998
118,604,501,608,617,0.2849002849002851,0.164
119,604,502,608,618,0.29004189494038046,0.1684
120,604,503,608,620,0.2849002849002851,0.1684
121,604,504,608,621,0.5757559244064856,0.17033333333333334
122,604,505,608,624,0.6060606060606055,0.17033333333333334
123,605,506,609,627,0.7407407407407405,0.17273333333333335
124,605,507,609,631,0.8211143695014664,0.17273333333333335
125,605,508,609,632,0.8928571428571432,0.17450000000000002
126,605,510,609,634,0.83594566353187,0.1758
127,605,511,609,636,0.784313725490196,0.1758
128,605,511,609,636,0.817810086324398,0.17726666666666666
129,604,512,609,638,0.7974481658692181,0.17726666666666666
130,604,513,609,639,0.882352941176471,0.17706666666666668
131,604,513,609,641,0.882352941176471,0.17933333333333332
132,604,514,609,642,0.7142857142857144,0.17933333333333332
133,604,515,609,643,0.7142857142857144,0.18226666666666666
134,605,516,609,644,0.47945205479452024,0.18226666666666666
135,604,517,609,646,0.435729847494553,0.18563333333333334
136,605,518,609,648,0.41958041958042,0.1864
137,605,519,610,650,0.2849002849002851,0.1864
138,605,520,610,651,0.4043126684636116,0.18476666666666663
139,605,520,610,652,0.4043126684636116,0.18476666666666663
140,605,521,610,654,0.389863547758285,0.18736666666666668
141,605,522,610,655,0.5108556832694768,0.18736666666666668
142,605,523,610,657,0.49306625577812024,0.193
143,605,524,610,658,0.4761904761904763,0.19186666666666669
144,605,524,610,659,0.4601668104687944,0.19186666666666669
145,605,525,610,660,0.44493882091212456,0.19240000000000002
146,605,526,610,663,0.3280481137233462,0.19240000000000002
147,605,527,610,665,0.3174603174603181,0.19553333333333336
148,605,528,609,667,0.2081706999739792,0.19790000000000002
149,605,528,609,668,0.1899335232668573,0.19790000000000002
150,604,529,609,668,0.1852423587527019,0.1995
151,604,530,609,669,0.17006802721088476,0.1995
152,604,530,608,671,0.12195121951219523,0.2
153,603,531,607,673,0.12195121951219523,0.20076666666666665
154,603,532,607,674,0.45712550279036446,0.20076666666666665
155,603,532,606,676,0.45712550279036446,0.2048
156,603,533,604,679,0.6506180871828242,0.2048
157,602,534,603,681,0.7407407407407405,0.20359999999999998
158,602,534,601,683,0.7153502235469444,0.20359999999999998
159,601,535,600,683,0.6912442396313372,0.20583333333333334
160,601,535,599,685,0.6465517241379306,0.20983333333333334
161,600,535,599,686,0.41666666666666696,0.20983333333333334
162,600,536,598,686,0.38366675801589434,0.21063333333333334
163,600,536,595,688,0.432900432900432,0.21063333333333334
164,599,537,593,690,0.4761904761904763,0.20823333333333335
165,599,537,592,690,0.4601668104687944,0.21006666666666668
166,598,537,591,691,0.3871748336358136,0.21006666666666668
167,597,538,590,691,0.3280481137233462,0.2101
168,597,538,588,692,0.3174603174603181,0.2101
169,596,539,587,693,0.2081706999739792,0.21640000000000004
170,595,539,584,694,0.30737704918032804,0.22123333333333334
171,595,539,581,695,0.29776674937965186,0.22123333333333334
172,594,539,580,696,0.3790570954750052,0.2172
173,593,539,577,696,0.46685340802987785,0.2172
174,592,540,576,696,0.4528985507246377,0.2189
175,591,540,574,697,0.5200433369447461,0.2189
176,591,540,572,697,0.4145936981757883,0.2225666666666667
177,590,540,571,697,0.40290088638195076,0.22473333333333337
178,589,540,568,697,0.31764939448084206,0.22473333333333337
179,588,540,567,697,0.3512469265893916,0.22366666666666665
180,587,540,564,697,0.3421142661648986,0.22366666666666665
181,586,540,562,697,0.27004219409282637,0.22266666666666665
182,585,540,558,697,0.1998667554963358,0.22563333333333332
183,584,540,556,697,0.1998667554963358,0.22563333333333332
184,584,540,553,697,0.1998667554963358,0.22753333333333334
185,583,540,551,697,0.0,0.22753333333333334
186,582,540,547,697,0.21468638311566757,0.22920000000000001
187,581,540,544,697,0.3076923076923075,0.22920000000000001
188,580,540,542,697,0.3809523809523814,0.23006666666666667
189,579,540,540,697,0.3809523809523814,0.23196666666666665
190,578,540,538,697,0.4761904761904763,0.23196666666666665
